id,league,season,timestamp,date,status,home,away,goals_home,goals_away,halftime_home,halftime_away
,Premier League,2024,,2024-09-28T14:00:00+00:00,FT,Brentford,West Ham,1,1,1,0
,Premier League,2024,,2024-09-28T14:00:00+00:00,FT,Nottingham Forest,Fulham,0,1,0,0
,Premier League,2024,,2024-09-28T16:30:00+00:00,FT,Wolves,Liverpool,1,2,0,1
,Premier League,2024,,2024-09-29T13:00:00+00:00,FT,Ipswich,Aston Villa,2,2,1,2
,Premier League,2024,,2024-09-29T15:30:00+00:00,FT,Manchester United,Tottenham,0,3,0,1
,Premier League,2024,,2024-09-30T19:00:00+00:00,FT,Bournemouth,Southampton,3,1,3,0
,Premier League,2024,,2024-10-05T11:30:00+00:00,FT,Crystal Palace,Liverpool,0,1,0,1
,Premier League,2024,,2024-10-05T14:00:00+00:00,FT,Arsenal,Southampton,3,1,0,0
,Premier League,2024,,2024-10-05T14:00:00+00:00,FT,Leicester,Bournemouth,1,0,1,0
,Premier League,2024,,2024-10-05T14:00:00+00:00,FT,West Ham,Ipswich,4,1,2,1
,Premier League,2024,,2024-10-05T14:00:00+00:00,FT,Manchester City,Fulham,3,2,1,1
,Premier League,2024,,2024-10-05T14:00:00+00:00,FT,Brentford,Wolves,5,3,4,2
,Premier League,2024,,2024-10-05T16:30:00+00:00,FT,Everton,Newcastle,0,0,0,0
,Premier League,2024,,2024-10-06T13:00:00+00:00,FT,Chelsea,Nottingham Forest,1,1,0,0
,Premier League,2024,,2024-10-06T13:00:00+00:00,FT,Aston Villa,Manchester United,0,0,0,0
,Premier League,2024,,2024-10-06T15:30:00+00:00,FT,Brighton,Tottenham,3,2,0,2
,Premier League,2024,,2024-10-19T11:30:00+00:00,FT,Tottenham,West Ham,4,1,1,1
,Premier League,2024,,2024-10-19T14:00:00+00:00,FT,Manchester United,Brentford,2,1,0,1
,Premier League,2024,,2024-10-19T14:00:00+00:00,FT,Newcastle,Brighton,0,1,0,1
,Premier League,2024,,2024-10-19T14:00:00+00:00,FT,Fulham,Aston Villa,1,3,1,1
,Premier League,2024,,2024-10-19T14:00:00+00:00,FT,Southampton,Leicester,2,3,2,0
,Premier League,2024,,2024-10-19T14:00:00+00:00,FT,Ipswich,Everton,0,2,0,2
,Premier League,2024,,2024-10-19T16:30:00+00:00,FT,Bournemouth,Arsenal,2,0,0,0
,Premier League,2024,,2024-10-20T13:00:00+00:00,FT,Wolves,Manchester City,1,2,1,1
,Premier League,2024,,2024-10-20T15:30:00+00:00,FT,Liverpool,Chelsea,2,1,1,0
,Premier League,2024,,2024-10-21T19:00:00+00:00,FT,Nottingham Forest,Crystal Palace,1,0,0,0
,Premier League,2024,,2024-10-25T19:00:00+00:00,FT,Leicester,Nottingham Forest,1,3,1,1
,Premier League,2024,,2024-10-26T14:00:00+00:00,FT,Manchester City,Southampton,1,0,1,0
,Premier League,2024,,2024-10-26T14:00:00+00:00,FT,Brighton,Wolves,2,2,1,0
,Premier League,2024,,2024-10-26T14:00:00+00:00,FT,Brentford,Ipswich,4,3,2,2
,Premier League,2024,,2024-10-26T14:00:00+00:00,FT,Aston Villa,Bournemouth,1,1,0,0
,Premier League,2024,,2024-10-26T16:30:00+00:00,FT,Everton,Fulham,1,1,0,0
,Premier League,2024,,2024-10-27T13:00:00+00:00,FT,West Ham,Manchester United,2,1,0,0
,Premier League,2024,,2024-10-27T13:00:00+00:00,FT,Chelsea,Newcastle,2,1,1,1
,Premier League,2024,,2024-10-27T13:00:00+00:00,FT,Crystal Palace,Tottenham,1,0,1,0
,Premier League,2024,,2024-10-27T15:30:00+00:00,FT,Arsenal,Liverpool,2,2,2,1
,Premier League,2024,,2024-11-02T12:30:00+00:00,FT,Newcastle,Arsenal,1,0,1,0
,Premier League,2024,,2024-11-02T15:00:00+00:00,FT,Bournemouth,Manchester City,2,1,1,0
,Premier League,2024,,2024-11-02T15:00:00+00:00,FT,Liverpool,Brighton,2,1,0,1
,Premier League,2024,,2024-11-02T15:00:00+00:00,FT,Southampton,Everton,1,0,0,0
,Premier League,2024,,2024-11-02T15:00:00+00:00,FT,Ipswich,Leicester,1,1,0,0
,Premier League,2024,,2024-11-02T15:00:00+00:00,FT,Nottingham Forest,West Ham,3,0,1,0
,Premier League,2024,,2024-11-02T17:30:00+00:00,FT,Wolves,Crystal Palace,2,2,0,0
,Premier League,2024,,2024-11-03T14:00:00+00:00,FT,Tottenham,Aston Villa,4,1,0,1
,Premier League,2024,,2024-11-03T16:30:00+00:00,FT,Manchester United,Chelsea,1,1,0,0
,Premier League,2024,,2024-11-04T20:00:00+00:00,FT,Fulham,Brentford,2,1,0,1
,Premier League,2024,,2024-11-09T15:00:00+00:00,FT,Wolves,Southampton,2,0,1,0
,Premier League,2024,,2024-11-09T15:00:00+00:00,FT,West Ham,Everton,0,0,0,0
,Premier League,2024,,2024-11-09T15:00:00+00:00,FT,Crystal Palace,Fulham,0,2,0,1
,Premier League,2024,,2024-11-09T15:00:00+00:00,FT,Brentford,Bournemouth,3,2,1,1
,Premier League,2024,,2024-11-09T17:30:00+00:00,FT,Brighton,Manchester City,2,1,0,1
,Premier League,2024,,2024-11-09T20:00:00+00:00,FT,Liverpool,Aston Villa,2,0,1,0
,Premier League,2024,,2024-11-10T14:00:00+00:00,FT,Manchester United,Leicester,3,0,2,0
,Premier League,2024,,2024-11-10T14:00:00+00:00,FT,Tottenham,Ipswich,1,2,0,2
,Premier League,2024,,2024-11-10T14:00:00+00:00,FT,Nottingham Forest,Newcastle,1,3,1,0
,Premier League,2024,,2024-11-10T16:30:00+00:00,FT,Chelsea,Arsenal,1,1,0,0
,Premier League,2024,,2024-11-23T12:30:00+00:00,FT,Leicester,Chelsea,1,2,0,1
,Premier League,2024,,2024-11-23T15:00:00+00:00,FT,Bournemouth,Brighton,1,2,0,1
,Premier League,2024,,2024-11-23T15:00:00+00:00,FT,Fulham,Wolves,1,4,1,1
,Premier League,2024,,2024-11-23T15:00:00+00:00,FT,Arsenal,Nottingham Forest,3,0,1,0
,Premier League,2024,,2024-11-23T15:00:00+00:00,FT,Everton,Brentford,0,0,0,0
,Premier League,2024,,2024-11-23T15:00:00+00:00,FT,Aston Villa,Crystal Palace,2,2,1,2
,Premier League,2024,,2024-11-23T17:30:00+00:00,FT,Manchester City,Tottenham,0,4,0,2
,Premier League,2024,,2024-11-24T14:00:00+00:00,FT,Southampton,Liverpool,2,3,1,1
,Premier League,2024,,2024-11-24T16:30:00+00:00,FT,Ipswich,Manchester United,1,1,1,1
,Premier League,2024,,2024-11-25T20:00:00+00:00,FT,Newcastle,West Ham,0,2,0,1
,Premier League,2024,,2024-11-29T20:00:00+00:00,FT,Brighton,Southampton,1,1,1,0
,Premier League,2024,,2024-11-30T15:00:00+00:00,FT,Wolves,Bournemouth,2,4,1,3
,Premier League,2024,,2024-11-30T15:00:00+00:00,FT,Crystal Palace,Newcastle,1,1,0,0
,Premier League,2024,,2024-11-30T15:00:00+00:00,FT,Brentford,Leicester,4,1,3,1
,Premier League,2024,,2024-11-30T15:00:00+00:00,FT,Nottingham Forest,Ipswich,1,0,0,0
,Premier League,2024,,2024-11-30T17:30:00+00:00,FT,West Ham,Arsenal,2,5,2,5
